model,pre_trained_embeddings,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,False,50,0.1,128,0.001,0.995729166666667,0.98967246975509,0.986159791498158
1,False,50,0.1,128,0.004,0.999427083333333,0.988787253228708,0.988406578592613
2,False,50,0.1,128,0.007,0.949375,0.986426674535261,0.985980048530601
3,False,50,0.1,128,0.01,0.956510416666667,0.983180878946091,0.984002875887481
4,False,50,0.1,256,0.001,0.9978125,0.98967246975509,0.987148377819718
5,False,50,0.1,256,0.004,0.996510416666667,0.989082325169666,0.987507863754831
6,False,50,0.1,256,0.007,0.991354166666667,0.987311891413396,0.98651927743327
7,False,50,0.1,256,0.01,0.9940625,0.986721746827973,0.986159791498158
8,False,50,0.1,384,0.001,0.999531247615814,0.988197103472507,0.985261076660376
9,False,50,0.1,384,0.004,0.995,0.989082327104311,0.985081333692819
10,False,50,0.1,384,0.007,0.995364582538605,0.986721739599437,0.986339534465714
11,False,50,0.1,384,0.01,0.996510411500931,0.98701682089704,0.985620562595488
12,False,50,0.2,128,0.001,0.999166666666667,0.990262614340513,0.986429405949492
13,False,50,0.2,128,0.004,0.996822916666667,0.988787253228708,0.986339534487141
14,False,50,0.2,128,0.007,0.995625,0.985541457287785,0.985350948144154
15,False,50,0.2,128,0.01,0.986822916666667,0.983771023900856,0.983733261436146
16,False,50,0.2,256,0.001,0.996927083333333,0.988787253228708,0.985440819627932
17,False,50,0.2,256,0.004,0.998854166666667,0.988197108643285,0.984991462209041
18,False,50,0.2,256,0.007,0.998020833333333,0.98613160224255,0.98651927743327
19,False,50,0.2,256,0.01,0.989947916666667,0.984361168838033,0.98553069111171
20,False,50,0.2,384,0.001,0.997812495231628,0.989377399555312,0.986339534465714
21,False,50,0.2,384,0.004,0.999062494039536,0.989377392326776,0.986339534465714
22,False,50,0.2,384,0.007,0.998489581346512,0.988492180109376,0.986968634852162
23,False,50,0.2,384,0.01,0.997760413885117,0.987311891255107,0.98651927743327
24,False,50,0.3,128,0.001,0.999322916666667,0.989967542047802,0.985980048530601
25,False,50,0.3,128,0.004,0.99671875,0.989377397814132,0.987238249303496
26,False,50,0.3,128,0.007,0.993958333333333,0.989377397462378,0.987238249303496
27,False,50,0.3,128,0.01,0.941302083333333,0.982885806653379,0.982385189179473
28,False,50,0.3,256,0.001,0.993802083333333,0.989082325169666,0.985980048552028
29,False,50,0.3,256,0.004,0.994791666666667,0.988492180935997,0.987687606722387
30,False,50,0.3,256,0.007,0.994010416666667,0.98554145800888,0.986968634852162
31,False,50,0.3,256,0.01,0.989322916666667,0.98554145800888,0.986159791498158
32,False,50,0.3,384,0.001,0.997968746423721,0.986426680655774,0.985620562595488
33,False,50,0.3,384,0.004,0.999843748807907,0.988492184770111,0.986878763368383
34,False,50,0.3,384,0.007,0.999114577770233,0.988787243713774,0.98553069111171
35,False,50,0.3,384,0.01,0.993281247615814,0.987902032639573,0.985620562595488
36,False,50,0.4,128,0.001,0.99890625,0.992033048096784,0.987687606722387
37,False,50,0.4,128,0.004,0.997708333333333,0.987016819472438,0.987507863754831
38,False,50,0.4,128,0.007,0.99671875,0.989082325169666,0.985710434079267
39,False,50,0.4,128,0.01,0.983020833333333,0.980230156740069,0.980138402085018
40,False,50,0.4,256,0.001,0.99515625,0.989967542047802,0.987148377819718
41,False,50,0.4,256,0.004,0.995833333333333,0.98613160224255,0.986699020400827
42,False,50,0.4,256,0.007,0.99640625,0.986721746827973,0.987058506357367
43,False,50,0.4,256,0.01,0.98828125,0.986426674535261,0.986699020400827
44,False,50,0.4,384,0.001,0.9925,0.990262620619315,0.986878763368383
45,False,50,0.4,384,0.004,0.99234375,0.986131597265236,0.98454210479015
46,False,50,0.4,384,0.007,0.998333328962326,0.987606972552711,0.988136964141278
47,False,50,0.4,384,0.01,0.99208333492279,0.98583652947497,0.986159791498158
48,False,100,0.1,128,0.001,0.994635416666667,0.98790203599882,0.98651927743327
49,False,100,0.1,128,0.004,0.99234375,0.985836529580496,0.983194032554904
50,False,100,0.1,128,0.007,0.986979166666667,0.98465624040965,0.981756088814453
51,False,100,0.1,128,0.01,0.98515625,0.975804072331805,0.97789161501199
52,False,100,0.1,256,0.001,0.994947916666667,0.990557686633225,0.98553069111171
53,False,100,0.1,256,0.004,0.999635416666667,0.988787252507614,0.987687606722387
54,False,100,0.1,256,0.007,0.933177083333333,0.983771023900856,0.981845960276804
55,False,100,0.1,256,0.01,0.994114583333333,0.985246384995073,0.98454210479015
56,False,100,0.1,384,0.001,0.997499994039536,0.989377392326776,0.985081333692819
57,False,100,0.1,384,0.004,0.993124996423721,0.987606965324174,0.985350948144154
