model,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,50,0.1,128,0.001,0.8475,0.8970197701250145,0.8979958659546002
1,50,0.1,128,0.004,0.9815625,0.9740336378720279,0.9680057517963888
2,50,0.1,128,0.007000000000000001,0.9594270833333334,0.9622307461459716,0.9604565471590203
3,50,0.1,128,0.01,0.9146875,0.9288875777906428,0.9242383391749798
4,50,0.1,256,0.001,0.97984375,0.9760991439210098,0.9745663700907702
5,50,0.1,256,0.004,0.99375,0.9796400121546452,0.9747461130583266
6,50,0.1,256,0.007000000000000001,0.9644270833333334,0.967542048153465,0.9645906353913903
7,50,0.1,256,0.01,0.95453125,0.959280023957537,0.9565920733351307
8,50,0.1,384,0.001,0.9429687476158142,0.9519032100443644,0.951649141770184
9,50,0.1,384,0.004,0.9825520789623261,0.9728533452364082,0.971780354093646
10,50,0.1,384,0.007000000000000001,0.9895833337306976,0.9740336464548153,0.9715107396423115
11,50,0.1,384,0.01,0.9729166674613953,0.9713779890667411,0.9638716635640188
12,50,0.2,128,0.001,0.9371354166666667,0.9613455296371778,0.9585692460211052
13,50,0.2,128,0.004,0.9803645833333333,0.9766892885064333,0.974476498606992
14,50,0.2,128,0.007000000000000001,0.9440625,0.9539687223193849,0.9530870854892081
15,50,0.2,128,0.01,0.8922916666666667,0.9111832398761863,0.9157904197426833
16,50,0.2,256,0.001,0.8311458333333334,0.9126586013221571,0.9106677450869747
17,50,0.2,256,0.004,0.9840625,0.9796400114159628,0.9747461130583266
18,50,0.2,256,0.007000000000000001,0.97796875,0.9802301560189739,0.9769030286904303
19,50,0.2,256,0.01,0.94765625,0.9492475656184097,0.9483238968275366
20,50,0.2,384,0.001,0.9030208325386048,0.9153142531701125,0.9165093915325575
21,50,0.2,384,0.004,0.9849479174613953,0.980525229824226,0.9736676552744152
22,50,0.2,384,0.007000000000000001,0.9818229162693024,0.9760991496194179,0.9703424103531949
23,50,0.2,384,0.01,0.9536458361148834,0.96016523744125,0.9600970612239075
24,50,0.30000000000000004,128,0.001,0.90515625,0.9321333729928839,0.9354722746901085
25,50,0.30000000000000004,128,0.004,0.9775,0.9731484209938928,0.9690842095803002
26,50,0.30000000000000004,128,0.007000000000000001,0.9427083333333334,0.9501327825141326,0.9549743866271232
27,50,0.30000000000000004,128,0.01,0.8928125,0.9182649745143385,0.9169587489889458
28,50,0.30000000000000004,256,0.001,0.9585416666666666,0.9607553846824131,0.9625235912859188
29,50,0.30000000000000004,256,0.004,0.96921875,0.9707878433557062,0.9676462658827031
30,50,0.30000000000000004,256,0.007000000000000001,0.969375,0.974918854750163,0.9707917677720859
31,50,0.30000000000000004,256,0.01,0.95578125,0.9663617586308646,0.9601869326862587
32,50,0.30000000000000004,384,0.001,0.9135416662693023,0.9430510484915492,0.941673407070804
33,50,0.30000000000000004,384,0.004,0.9861458361148834,0.9743287091094789,0.9724094545015205
34,50,0.30000000000000004,384,0.007000000000000001,0.9786979162693024,0.976099137061815,0.9729486833827626
35,50,0.30000000000000004,384,0.01,0.95328125,0.961640600364586,0.9586591174834563
36,50,0.4,128,0.001,0.8919270833333334,0.9271171433132777,0.9320571582851099
37,50,0.4,128,0.004,0.9740625,0.9760991442903512,0.9750157275096611
38,50,0.4,128,0.007000000000000001,0.91671875,0.9386249627290345,0.9367304754415762
39,50,0.4,128,0.01,0.8927083333333333,0.9094128057505747,0.9058146850004494
40,50,0.4,256,0.001,0.8335416666666666,0.9132487459075807,0.9125550463266682
41,50,0.4,256,0.004,0.9763541666666666,0.9731484217149876,0.9714208681585333
42,50,0.4,256,0.007000000000000001,0.9652604166666666,0.9690174092476823,0.9680057517749618
43,50,0.4,256,0.01,0.92203125,0.9356742404878368,0.9293610136914127
44,50,0.4,384,0.001,0.950052080154419,0.955739147914972,0.956232587421445
45,50,0.4,384,0.004,0.8115104150772094,0.8846267309819186,0.8718432641322909
46,50,0.4,384,0.007000000000000001,0.9637500011920929,0.9678371164185982,0.9637817920373866
47,50,0.4,384,0.01,0.9572916638851166,0.967542048153465,0.966298193583176
48,100,0.1,128,0.001,0.9624479166666666,0.9693124815403941,0.967646265839849
49,100,0.1,128,0.004,0.9759375,0.9743287105164932,0.9705221533207513
