model,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,100,0.1,128,0.001,0.9980729166666666,0.9905576866332252,0.9857104340792666
1,100,0.1,128,0.0035,0.9964583333333333,0.9896724701068436,0.9854408196279321
2,100,0.1,128,0.006,0.998125,0.9879020363505733,0.9870585063359396
3,100,0.1,256,0.001,0.9959895833333333,0.9899675420478017,0.9866990204008268
4,100,0.1,256,0.0035,0.9995833333333334,0.9881971079221902,0.9875078637548306
5,100,0.1,256,0.006,0.990625,0.9864266748870147,0.9875078637548306
6,100,0.2,128,0.001,0.9994791666666667,0.98967246975509,0.986339534465714
7,100,0.2,128,0.0035,0.99640625,0.9890823255214202,0.987687606722387
8,100,0.2,128,0.006,0.99671875,0.9858365299498377,0.9842724903388155
9,100,0.2,256,0.001,0.9979166666666667,0.9890823251696665,0.9844522333063719
10,100,0.2,256,0.0035,0.9986979166666666,0.9899675420478017,0.9866091489170487
11,100,0.2,256,0.006,0.989375,0.9855414580088796,0.9853509481441539
12,100,0.3,128,0.001,0.99953125,0.9902626143405134,0.9868787633683832
13,100,0.3,128,0.0035,0.9985416666666667,0.9902626143405134,0.9857104340792666
14,100,0.3,128,0.006,0.9927604166666667,0.9870168194724381,0.9860699200143794
15,100,0.3,256,0.001,0.9978125,0.9887872532287084,0.9862496629819358
16,100,0.3,256,0.0035,0.9979166666666667,0.9879020359988198,0.9864294059494922
17,100,0.3,256,0.006,0.9955729166666667,0.9905576869849787,0.9878673496899434
18,300,0.1,128,0.001,0.9966666666666667,0.9899675420478017,0.9871483778197178
19,300,0.1,128,0.0035,0.9970833333333333,0.9893773970930371,0.9870585063359396
20,300,0.1,128,0.006,0.9560416666666667,0.9825907350817624,0.9840028758874809
21,300,0.1,256,0.001,0.9886979166666666,0.9893773974623783,0.9861597914981577
22,300,0.1,256,0.0035,0.9888541666666667,0.9873118914133963,0.9868787633683832
23,300,0.1,256,0.006,0.9972916666666667,0.9867217471797264,0.9853509481441539
24,300,0.2,128,0.001,0.9994270833333333,0.9905576866332252,0.9875078637548306
25,300,0.2,128,0.0035,0.9971354166666667,0.9890823255214202,0.9874179922710524
26,300,0.2,128,0.006,0.98703125,0.9814104451898207,0.9825649321470298
27,300,0.2,256,0.001,0.9961458333333333,0.9899675420478017,0.987238249303496
28,300,0.2,256,0.0035,0.99421875,0.9881971082915314,0.9866091489170487
29,300,0.2,256,0.006,0.99640625,0.9867217468279729,0.9855306911117102
30,300,0.3,128,0.001,0.9971354166666667,0.991737975804072,0.9866091489170487
31,300,0.3,128,0.0035,0.9982291666666666,0.9884921805842432,0.9863395344871411
32,300,0.3,128,0.006,0.9476041666666667,0.983771023883268,0.9801384021064454
33,300,0.3,256,0.001,0.9995833333333334,0.9887872528593672,0.9860699200143794
34,300,0.3,256,0.0035,0.9958333333333333,0.9858365303015912,0.9855306911117102
35,300,0.3,256,0.006,0.99578125,0.9834759519598976,0.9843623618225937
