model,pre-trained-embeddings,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,False,100,0.1,128,0.001,0.998072916666666,0.990557686633225,0.985710434079267
1,False,100,0.1,128,0.0035,0.996458333333333,0.989672470106843,0.985440819627932
2,False,100,0.1,128,0.006,0.998125,0.987902036350573,0.98705850633594
3,False,100,0.1,256,0.001,0.995989583333333,0.989967542047802,0.986699020400827
4,False,100,0.1,256,0.0035,0.999583333333333,0.98819710792219,0.987507863754831
5,False,100,0.1,256,0.006,0.990625,0.986426674887015,0.987507863754831
6,False,100,0.2,128,0.001,0.999479166666667,0.98967246975509,0.986339534465714
7,False,100,0.2,128,0.0035,0.99640625,0.98908232552142,0.987687606722387
8,False,100,0.2,128,0.006,0.99671875,0.985836529949838,0.984272490338816
9,False,100,0.2,256,0.001,0.997916666666667,0.989082325169666,0.984452233306372
10,False,100,0.2,256,0.0035,0.998697916666667,0.989967542047802,0.986609148917049
11,False,100,0.2,256,0.006,0.989375,0.98554145800888,0.985350948144154
12,False,100,0.3,128,0.001,0.99953125,0.990262614340513,0.986878763368383
13,False,100,0.3,128,0.0035,0.998541666666667,0.990262614340513,0.985710434079267
14,False,100,0.3,128,0.006,0.992760416666667,0.987016819472438,0.986069920014379
15,False,100,0.3,256,0.001,0.9978125,0.988787253228708,0.986249662981936
16,False,100,0.3,256,0.0035,0.997916666666667,0.98790203599882,0.986429405949492
17,False,100,0.3,256,0.006,0.995572916666667,0.990557686984979,0.987867349689943
18,False,300,0.1,128,0.001,0.996666666666667,0.989967542047802,0.987148377819718
19,False,300,0.1,128,0.0035,0.997083333333333,0.989377397093037,0.98705850633594
20,False,300,0.1,128,0.006,0.956041666666667,0.982590735081762,0.984002875887481
21,False,300,0.1,256,0.001,0.988697916666667,0.989377397462378,0.986159791498158
22,False,300,0.1,256,0.0035,0.988854166666667,0.987311891413396,0.986878763368383
23,False,300,0.1,256,0.006,0.997291666666667,0.986721747179726,0.985350948144154
24,False,300,0.2,128,0.001,0.999427083333333,0.990557686633225,0.987507863754831
25,False,300,0.2,128,0.0035,0.997135416666667,0.98908232552142,0.987417992271052
26,False,300,0.2,128,0.006,0.98703125,0.981410445189821,0.98256493214703
27,False,300,0.2,256,0.001,0.996145833333333,0.989967542047802,0.987238249303496
28,False,300,0.2,256,0.0035,0.99421875,0.988197108291531,0.986609148917049
29,False,300,0.2,256,0.006,0.99640625,0.986721746827973,0.98553069111171
30,False,300,0.3,128,0.001,0.997135416666667,0.991737975804072,0.986609148917049
31,False,300,0.3,128,0.0035,0.998229166666667,0.988492180584243,0.986339534487141
32,False,300,0.3,128,0.006,0.947604166666667,0.983771023883268,0.980138402106445
33,False,300,0.3,256,0.001,0.999583333333333,0.988787252859367,0.986069920014379
34,False,300,0.3,256,0.0035,0.995833333333333,0.985836530301591,0.98553069111171
35,False,300,0.3,256,0.006,0.99578125,0.983475951959898,0.984362361822594
