model,kernel,alpha,batch_size,gamma,n_components,best_train,best_val,best_test
0,linear,1e-05,50,None,None,0.9832291666666667,0.9787547949247566,0.9765435427338905
1,linear,3.578947368421053e-05,50,None,None,0.978125,0.9772794334611979,0.9775321290554507
2,linear,6.157894736842106e-05,50,None,None,0.97078125,0.9719681321923871,0.9703424103531949
3,linear,8.736842105263157e-05,50,None,None,0.9724479166666666,0.9701976984361168,0.9718702255774243
4,linear,0.0001131578947368421,50,None,None,0.9680729166666666,0.9687223369725583,0.9679158802911836
5,linear,0.00013894736842105261,50,None,None,0.9634375,0.9663617586308646,0.9636919205536083
6,linear,0.00016473684210526314,50,None,None,0.95171875,0.9640011802891708,0.954884515143345
7,linear,0.00019052631578947367,50,None,None,0.9638541666666667,0.9634110357037474,0.9646805068751685
8,linear,0.0002163157894736842,50,None,None,0.9577083333333334,0.9625258188256123,0.9595578322998113
9,linear,0.00024210526315789473,50,None,None,0.9558854166666667,0.9625258188256123,0.9583895030106947
10,linear,0.00026789473684210526,50,None,None,0.8969270833333334,0.9578046621422248,0.9035678979059945
11,linear,0.0002936842105263158,50,None,None,0.9383333333333334,0.9471820596046031,0.9442796800575177
12,linear,0.0003194736842105263,50,None,None,0.8960416666666666,0.9610504573620537,0.9032982834546598
13,linear,0.00034526315789473684,50,None,None,0.9607291666666666,0.9580997344349366,0.9611755190078188
14,linear,0.00037105263157894737,50,None,None,0.9191145833333333,0.9578046621422248,0.9262155118181001
15,linear,0.0003968421052631579,50,None,None,0.90578125,0.9457066981410446,0.9121056888649232
16,linear,0.0004226315789473684,50,None,None,0.85109375,0.9557391560932429,0.8548575536982116
17,linear,0.00044842105263157895,50,None,None,0.9029166666666667,0.9580997344349366,0.909319672867799
18,linear,0.0004742105263157895,50,None,None,0.8235416666666666,0.9451165535556211,0.8248404781162937
19,linear,0.0005,50,None,None,0.95359375,0.9551490115078194,0.9565920733351307
20,linear,1e-05,112,None,None,0.98546875,0.9820005901445854,0.9823851891794734
21,linear,3.578947368421053e-05,112,None,None,0.975625,0.9781646503393331,0.9756448278961085
22,linear,6.157894736842106e-05,112,None,None,0.97765625,0.9737385659486574,0.9774422575716725
