model,kernel,alpha,batch_size,gamma,n_components,best_train,best_val,best_test
0,rbf,1e-05,50,0.01,100,0.6816666666666666,0.490705222779581,0.4906983014289566
1,rbf,1e-05,50,0.01,1000,0.5277083333333333,0.509294777220419,0.4906983014289566
2,rbf,1e-05,50,0.5075,100,0.7858854166666667,0.509294777220419,0.5093016985710435
3,rbf,1e-05,50,0.5075,1000,0.8878125,0.5089997049277073,0.4906983014289566
4,rbf,1e-05,50,1.005,100,0.81046875,0.5146060784892299,0.49555136155297924
5,rbf,1e-05,50,1.005,1000,0.9559895833333333,0.4921805842431396,0.4843174260807046
6,rbf,1e-05,50,1.5025,100,0.76,0.5013278253172028,0.49222611665318594
7,rbf,1e-05,50,1.5025,1000,0.9646875,0.5128356447329596,0.4753302777028849
8,rbf,1e-05,50,2.0,100,0.8201041666666666,0.5101799940985542,0.49006920104250923
9,rbf,1e-05,50,2.0,1000,0.9346354166666667,0.4910002950722927,0.5038195380605733
10,rbf,0.0001325,50,0.01,100,0.49072916666666666,0.490705222779581,0.48692369911027233
11,rbf,0.0001325,50,0.01,1000,0.5092708333333333,0.509294777220419,0.5093016985710435
12,rbf,0.0001325,50,0.5075,100,0.81875,0.5087046326349955,0.48818189988316707
13,rbf,0.0001325,50,0.5075,1000,0.9053125,0.5582767778105636,0.5093016985710435
14,rbf,0.0001325,50,1.005,100,0.8339583333333334,0.4910002950722927,0.4907881729127348
15,rbf,0.0001325,50,1.005,1000,0.93421875,0.5084095603422839,0.5093016985710435
16,rbf,0.0001325,50,1.5025,100,0.82234375,0.49011507819415756,0.49582097600431385
17,rbf,0.0001325,50,1.5025,1000,0.9533333333333334,0.5028031867807613,0.4906983014289566
18,rbf,0.0001325,50,2.0,100,0.7930729166666667,0.48598406609619355,0.49132740181540396
19,rbf,0.0001325,50,2.0,1000,0.9466666666666667,0.4910002950722927,0.4906983014289566
20,rbf,0.000255,50,0.01,100,0.5092708333333333,0.509294777220419,0.5093016985710435
21,rbf,0.000255,50,0.01,1000,0.49072916666666666,0.5358512835644733,0.4906983014289566
22,rbf,0.000255,50,0.5075,100,0.80890625,0.509294777220419,0.4907881729127348
23,rbf,0.000255,50,0.5075,1000,0.8695833333333334,0.509294777220419,0.5089422126359306
24,rbf,0.000255,50,1.005,100,0.8011979166666666,0.49454116258483327,0.4906983014289566
25,rbf,0.000255,50,1.005,1000,0.9463541666666667,0.5149011507819415,0.5092118270872652
26,rbf,0.000255,50,1.5025,100,0.8016145833333334,0.5234582472705813,0.5078637548305922
27,rbf,0.000255,50,1.5025,1000,0.93921875,0.5305399822956625,0.49438303226386265
28,rbf,0.000255,50,2.0,100,0.8108333333333333,0.49041015048686926,0.5063359396063629
29,rbf,0.000255,50,2.0,1000,0.9485416666666666,0.5311301268810859,0.49114765884784756
30,rbf,0.0003775,50,0.01,100,0.5441145833333333,0.509294777220419,0.5093016985710435
31,rbf,0.0003775,50,0.01,1000,0.49072916666666666,0.509294777220419,0.4906983014289566
32,rbf,0.0003775,50,0.5075,100,0.8063020833333333,0.509294777220419,0.5093016985710435
33,rbf,0.0003775,50,0.5075,1000,0.9076041666666667,0.509294777220419,0.4935741889098589
34,rbf,0.0003775,50,1.005,100,0.8128125,0.509294777220419,0.5093016985710435
35,rbf,0.0003775,50,1.005,1000,0.9260416666666667,0.5364414281498967,0.5092118270872652
36,rbf,0.0003775,50,1.5025,100,0.804375,0.49365594570669813,0.4942931607800845
37,rbf,0.0003775,50,1.5025,1000,0.9328645833333333,0.5098849218058424,0.5088523411521524
38,rbf,0.0003775,50,2.0,100,0.8075520833333333,0.509294777220419,0.5677181630268716
39,rbf,0.0003775,50,2.0,1000,0.9308854166666667,0.4868692829743287,0.4933045744585243
40,rbf,0.0005,50,0.01,100,0.5092708333333333,0.509294777220419,0.5070549114765884
41,rbf,0.0005,50,0.01,1000,0.5092708333333333,0.509294777220419,0.5093016985710435
42,rbf,0.0005,50,0.5075,100,0.7747916666666667,0.509294777220419,0.4927653455558551
43,rbf,0.0005,50,0.5075,1000,0.8936458333333334,0.49808203009737384,0.5093016985710435
44,rbf,0.0005,50,1.005,100,0.8256770833333333,0.5084095603422839,0.5093016985710435
45,rbf,0.0005,50,1.005,1000,0.9327083333333334,0.5069341988787253,0.5092118270872652
46,rbf,0.0005,50,1.5025,100,0.7899479166666666,0.5089997049277073,0.5090320841197088
47,rbf,0.0005,50,1.5025,1000,0.9357291666666666,0.5057539097078785,0.4992360923878853
48,rbf,0.0005,50,2.0,100,0.8311979166666666,0.5089997049277073,0.37665138851442437
49,rbf,0.0005,50,2.0,1000,0.9265625,0.48126290941280614,0.48908061472094905
50,rbf,1e-05,300,0.01,100,0.5732291666666667,0.490705222779581,0.5093016985710435
51,rbf,1e-05,300,0.01,1000,0.7040104166666666,0.490705222779581,0.4906983014289566
52,rbf,1e-05,300,0.5075,100,0.8030208333333333,0.490705222779581,0.4928552170396333
53,rbf,1e-05,300,0.5075,1000,0.9546354166666666,0.490705222779581,0.5093016985710435
54,rbf,1e-05,300,1.005,100,0.8059895833333334,0.4912953673650044,0.48926035768850545
55,rbf,1e-05,300,1.005,1000,0.7486458333333333,0.5202124520507524,0.4951020041340883
56,rbf,1e-05,300,1.5025,100,0.81765625,0.49306580112127474,0.4960007189718702
57,rbf,1e-05,300,1.5025,1000,0.9059895833333333,0.5107701386839776,0.48278961085647526
58,rbf,1e-05,300,2.0,100,0.81890625,0.492770728828563,0.5101105419250472
59,rbf,1e-05,300,2.0,1000,0.9639583333333334,0.49454116258483327,0.4745214343488811
60,rbf,0.0001325,300,0.01,100,0.6826041666666667,0.490705222779581,0.4906983014289566
61,rbf,0.0001325,300,0.01,1000,0.5900520833333334,0.490705222779581,0.4906983014289566
62,rbf,0.0001325,300,0.5075,100,0.7953125,0.5087046326349955,0.5104700278601599
63,rbf,0.0001325,300,0.5075,1000,0.9447395833333333,0.494836234877545,0.4906983014289566
64,rbf,0.0001325,300,1.005,100,0.79796875,0.5582767778105636,0.5090320841197088
65,rbf,0.0001325,300,1.005,1000,0.9438020833333334,0.49454116258483327,0.48800215691561066
66,rbf,0.0001325,300,1.5025,100,0.81359375,0.4966066686338153,0.4942032892963063
67,rbf,0.0001325,300,1.5025,1000,0.9328645833333333,0.49601652404839186,0.5089422126359306
68,rbf,0.0001325,300,2.0,100,0.78609375,0.5792269105930953,0.4850363979509302
69,rbf,0.0001325,300,2.0,1000,0.9495833333333333,0.5019179699026262,0.5001348072256673
70,rbf,0.000255,300,0.01,100,0.5092708333333333,0.509294777220419,0.5093016985710435
