model,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,50,0.1,128,0.001,0.99984375,0.9908527589259368,0.9896647793655073
1,50,0.1,128,0.0035,0.99875,0.9911478312186486,0.9900242653006202
2,50,0.1,128,0.006,0.994375,0.9870168194724381,0.9850813336928192
3,50,0.1,256,0.001,0.9970833333333333,0.9899675420478017,0.9882268356250562
4,50,0.1,256,0.0035,0.9972916666666667,0.9890823255214202,0.9869686348521615
5,50,0.1,256,0.006,0.9950520833333333,0.9893773974623783,0.9877774782061652
6,50,0.2,128,0.001,0.9963541666666667,0.9879020359988198,0.988586321560169
7,50,0.2,128,0.0035,0.99640625,0.9902626143405134,0.9897546508492855
8,50,0.2,128,0.006,0.9946354166666667,0.9902626143405134,0.9893951649141728
9,50,0.2,256,0.001,0.9958854166666666,0.9902626143405134,0.9867888918846051
10,50,0.2,256,0.0035,0.9963020833333334,0.9899675420478017,0.987687606722387
11,50,0.2,256,0.006,0.9908333333333333,0.9899675420478017,0.9888559360115036
12,50,0.3,128,0.001,0.99140625,0.9870168191206846,0.9870585063359396
13,50,0.3,128,0.0035,0.9991666666666666,0.9914429035113603,0.9893052934303945
14,50,0.3,128,0.006,0.99265625,0.9911478312186486,0.9866091489170487
15,50,0.3,256,0.001,0.9948958333333333,0.9884921805842432,0.9873281207872742
16,50,0.3,256,0.0035,0.99265625,0.9899675420478017,0.9871483778197178
17,50,0.3,256,0.006,0.9963541666666667,0.9899675420478017,0.9892154219466164
18,100,0.1,128,0.001,0.9980208333333334,0.98967246975509,0.988586321560169
19,100,0.1,128,0.0035,0.9975,0.9920330480967837,0.9866091489170487
20,100,0.1,128,0.006,0.9970833333333333,0.9876069640578615,0.9852610766603757
21,100,0.1,256,0.001,0.99890625,0.9890823255214202,0.9862496629819358
22,100,0.1,256,0.0035,0.9958854166666666,0.98967246975509,0.9883167071088343
23,100,0.1,256,0.006,0.9973958333333334,0.9887872532287084,0.9883167071088343
24,100,0.2,128,0.001,0.9960416666666667,0.9893773974623783,0.9879572211737215
25,100,0.2,128,0.0035,0.9990104166666667,0.9902626143405134,0.9902040082681766
26,100,0.2,128,0.006,0.9846875,0.9879020359988198,0.9874179922710524
27,100,0.2,256,0.001,0.9975,0.9890823251696665,0.9893052934303945
28,100,0.2,256,0.0035,0.998125,0.9899675420478017,0.98903567897906
29,100,0.2,256,0.006,0.998125,0.9899675420478017,0.9883167071088343
30,100,0.3,128,0.001,0.9963541666666667,0.9905576866332252,0.9859800485306013
31,100,0.3,128,0.0035,0.99609375,0.9896724701068436,0.9883167071088343
32,100,0.3,128,0.006,0.989375,0.9881971082915314,0.9887660645277253
33,100,0.3,256,0.001,0.9965104166666666,0.9905576866332252,0.987687606722387
34,100,0.3,256,0.0035,0.9996354166666667,0.9908527589259368,0.9894850363979509
35,100,0.3,256,0.006,0.9959895833333333,0.9902626143405134,0.9886761930439472
36,200,0.1,128,0.001,0.9957291666666667,0.9911478312186486,0.9883167071088343
37,200,0.1,128,0.0035,0.9972395833333333,0.9905576862638839,0.9870585063359396
38,200,0.1,128,0.006,0.98984375,0.9870168191206846,0.9851712051765975
39,200,0.1,256,0.001,0.9968229166666667,0.9876069640578615,0.987687606722387
40,200,0.1,256,0.0035,0.9983333333333333,0.9899675420478017,0.9880470926574998
41,200,0.1,256,0.006,0.99796875,0.9881971082915314,0.9878673496899434
42,200,0.2,128,0.001,0.99328125,0.9893773978141319,0.9880470926574998
43,200,0.2,128,0.0035,0.9982291666666666,0.9893773974623783,0.9866990204008268
44,200,0.2,128,0.006,0.9973958333333334,0.9864266741659199,0.98454210479015
45,200,0.2,256,0.001,0.9941145833333334,0.9884921805842432,0.9875078637548306
46,200,0.2,256,0.0035,0.9900520833333334,0.9902626143405134,0.988136964162705
47,200,0.2,256,0.006,0.99546875,0.9890823255214202,0.9880470926789268
48,200,0.3,128,0.001,0.9964583333333333,0.9920330480967837,0.9893951649141728
49,200,0.3,128,0.0035,0.9917708333333334,0.9881971079221902,0.98903567897906
50,200,0.3,128,0.006,0.9959895833333333,0.9890823251696665,0.9881369641412779
51,200,0.3,256,0.001,0.9972916666666667,0.9893773978141319,0.9881369641412779
52,200,0.3,256,0.0035,0.9990104166666667,0.9899675420478017,0.9886761930439472
53,200,0.3,256,0.006,0.9920833333333333,0.9899675416784605,0.9884964500763908
54,300,0.1,128,0.001,0.99609375,0.9887872528769549,0.9875977352386088
55,300,0.1,128,0.0035,0.9969270833333334,0.9884921809359968,0.9832839040172553
56,300,0.1,128,0.006,0.9901041666666667,0.9890823248003253,0.9855306911117102
57,300,0.1,256,0.001,0.9990104166666667,0.988197108643285,0.9860699200143794
58,300,0.1,256,0.0035,0.9969270833333334,0.9884921805842432,0.986339534465714
59,300,0.1,256,0.006,0.989375,0.9864266745352611,0.9846319762739283
60,300,0.2,128,0.001,0.9989583333333333,0.9914429035113603,0.987687606722387
61,300,0.2,128,0.0035,0.9860416666666667,0.9879020359988198,0.9859800485306013
62,300,0.2,128,0.006,0.9897395833333333,0.9861316022425495,0.9851712051765975
63,300,0.2,256,0.001,0.9990104166666667,0.9896724701068436,0.9868787633683832
64,300,0.2,256,0.0035,0.9980729166666666,0.9914429038631138,0.9871483778197178
65,300,0.2,256,0.006,0.9941145833333334,0.9899675420478017,0.9869686348521615
66,300,0.3,128,0.001,0.9941666666666666,0.9887872532287084,0.9874179922710524
67,300,0.3,128,0.0035,0.9970833333333333,0.9893773978141319,0.9848117192414847
68,300,0.3,128,0.006,0.9898958333333333,0.9864266748870147,0.9867888918846051
69,300,0.3,256,0.001,0.9975520833333333,0.98967246975509,0.987238249303496
70,300,0.3,256,0.0035,0.9899479166666667,0.9902626146922671,0.9865192774332704
71,300,0.3,256,0.006,0.9953125,0.98967246975509,0.9860699200143794
