model,pre-trained-embeddings,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,True,50,0.1,128,0.001,0.99984375,0.990852758925937,0.989664779365507
1,True,50,0.1,128,0.0035,0.99875,0.991147831218649,0.99002426530062
2,True,50,0.1,128,0.006,0.994375,0.987016819472438,0.985081333692819
3,True,50,0.1,256,0.001,0.997083333333333,0.989967542047802,0.988226835625056
4,True,50,0.1,256,0.0035,0.997291666666667,0.98908232552142,0.986968634852162
5,True,50,0.1,256,0.006,0.995052083333333,0.989377397462378,0.987777478206165
6,True,50,0.2,128,0.001,0.996354166666667,0.98790203599882,0.988586321560169
7,True,50,0.2,128,0.0035,0.99640625,0.990262614340513,0.989754650849286
8,True,50,0.2,128,0.006,0.994635416666667,0.990262614340513,0.989395164914173
9,True,50,0.2,256,0.001,0.995885416666667,0.990262614340513,0.986788891884605
10,True,50,0.2,256,0.0035,0.996302083333333,0.989967542047802,0.987687606722387
11,True,50,0.2,256,0.006,0.990833333333333,0.989967542047802,0.988855936011504
12,True,50,0.3,128,0.001,0.99140625,0.987016819120685,0.98705850633594
13,True,50,0.3,128,0.0035,0.999166666666667,0.99144290351136,0.989305293430394
14,True,50,0.3,128,0.006,0.99265625,0.991147831218649,0.986609148917049
15,True,50,0.3,256,0.001,0.994895833333333,0.988492180584243,0.987328120787274
16,True,50,0.3,256,0.0035,0.99265625,0.989967542047802,0.987148377819718
17,True,50,0.3,256,0.006,0.996354166666667,0.989967542047802,0.989215421946616
18,True,100,0.1,128,0.001,0.998020833333333,0.98967246975509,0.988586321560169
19,True,100,0.1,128,0.0035,0.9975,0.992033048096784,0.986609148917049
20,True,100,0.1,128,0.006,0.997083333333333,0.987606964057862,0.985261076660376
21,True,100,0.1,256,0.001,0.99890625,0.98908232552142,0.986249662981936
22,True,100,0.1,256,0.0035,0.995885416666667,0.98967246975509,0.988316707108834
23,True,100,0.1,256,0.006,0.997395833333333,0.988787253228708,0.988316707108834
24,True,100,0.2,128,0.001,0.996041666666667,0.989377397462378,0.987957221173721
25,True,100,0.2,128,0.0035,0.999010416666667,0.990262614340513,0.990204008268177
26,True,100,0.2,128,0.006,0.9846875,0.98790203599882,0.987417992271052
27,True,100,0.2,256,0.001,0.9975,0.989082325169666,0.989305293430394
28,True,100,0.2,256,0.0035,0.998125,0.989967542047802,0.98903567897906
29,True,100,0.2,256,0.006,0.998125,0.989967542047802,0.988316707108834
30,True,100,0.3,128,0.001,0.996354166666667,0.990557686633225,0.985980048530601
31,True,100,0.3,128,0.0035,0.99609375,0.989672470106843,0.988316707108834
32,True,100,0.3,128,0.006,0.989375,0.988197108291531,0.988766064527725
33,True,100,0.3,256,0.001,0.996510416666667,0.990557686633225,0.987687606722387
34,True,100,0.3,256,0.0035,0.999635416666667,0.990852758925937,0.989485036397951
35,True,100,0.3,256,0.006,0.995989583333333,0.990262614340513,0.988676193043947
36,True,200,0.1,128,0.001,0.995729166666667,0.991147831218649,0.988316707108834
37,True,200,0.1,128,0.0035,0.997239583333333,0.990557686263884,0.98705850633594
38,True,200,0.1,128,0.006,0.98984375,0.987016819120685,0.985171205176598
39,True,200,0.1,256,0.001,0.996822916666667,0.987606964057862,0.987687606722387
40,True,200,0.1,256,0.0035,0.998333333333333,0.989967542047802,0.9880470926575
41,True,200,0.1,256,0.006,0.99796875,0.988197108291531,0.987867349689943
42,True,200,0.2,128,0.001,0.99328125,0.989377397814132,0.9880470926575
43,True,200,0.2,128,0.0035,0.998229166666667,0.989377397462378,0.986699020400827
44,True,200,0.2,128,0.006,0.997395833333333,0.98642667416592,0.98454210479015
45,True,200,0.2,256,0.001,0.994114583333333,0.988492180584243,0.987507863754831
46,True,200,0.2,256,0.0035,0.990052083333333,0.990262614340513,0.988136964162705
47,True,200,0.2,256,0.006,0.99546875,0.98908232552142,0.988047092678927
48,True,200,0.3,128,0.001,0.996458333333333,0.992033048096784,0.989395164914173
49,True,200,0.3,128,0.0035,0.991770833333333,0.98819710792219,0.98903567897906
50,True,200,0.3,128,0.006,0.995989583333333,0.989082325169666,0.988136964141278
51,True,200,0.3,256,0.001,0.997291666666667,0.989377397814132,0.988136964141278
52,True,200,0.3,256,0.0035,0.999010416666667,0.989967542047802,0.988676193043947
53,True,200,0.3,256,0.006,0.992083333333333,0.98996754167846,0.988496450076391
54,True,300,0.1,128,0.001,0.99609375,0.988787252876955,0.987597735238609
55,True,300,0.1,128,0.0035,0.996927083333333,0.988492180935997,0.983283904017255
56,True,300,0.1,128,0.006,0.990104166666667,0.989082324800325,0.98553069111171
57,True,300,0.1,256,0.001,0.999010416666667,0.988197108643285,0.986069920014379
58,True,300,0.1,256,0.0035,0.996927083333333,0.988492180584243,0.986339534465714
59,True,300,0.1,256,0.006,0.989375,0.986426674535261,0.984631976273928
60,True,300,0.2,128,0.001,0.998958333333333,0.99144290351136,0.987687606722387
61,True,300,0.2,128,0.0035,0.986041666666667,0.98790203599882,0.985980048530601
62,True,300,0.2,128,0.006,0.989739583333333,0.98613160224255,0.985171205176598
63,True,300,0.2,256,0.001,0.999010416666667,0.989672470106843,0.986878763368383
64,True,300,0.2,256,0.0035,0.998072916666666,0.991442903863114,0.987148377819718
65,True,300,0.2,256,0.006,0.994114583333333,0.989967542047802,0.986968634852162
66,True,300,0.3,128,0.001,0.994166666666666,0.988787253228708,0.987417992271052
67,True,300,0.3,128,0.0035,0.997083333333333,0.989377397814132,0.984811719241485
68,True,300,0.3,128,0.006,0.989895833333333,0.986426674887015,0.986788891884605
69,True,300,0.3,256,0.001,0.997552083333333,0.98967246975509,0.987238249303496
70,True,300,0.3,256,0.0035,0.989947916666667,0.990262614692267,0.98651927743327
71,True,300,0.3,256,0.006,0.9953125,0.98967246975509,0.986069920014379
